"","Date","Ticker","DA_ROI","VA_ROI","GA_ROI","DA_Value","VA_Value_Required","GA_Value","VA_Over_400","GA_Over_400","VA_Over_300","GA_Over_300","VA_Over_200","GA_Over_200","DA_Sharpe_Ratio","VA_Sharpe_Ratio","GA_Sharpe_Ratio"
"1","2001+5","SPY",14.8353370545069,17.4773283518594,15.5292950584285,6890.12022327042,6000,6569.31068106302,0,0,0,0,0,0,-0.0345481084077577,0.101222143058678,-0.000176142196794538
"2","2002+5","SPY",28.1551211773191,33.2098792642246,29.4609554690527,7689.30727063915,6000,7145.0457134429,0,0,0,0,0,0,0.780008300498778,0.867206976673213,0.802144691403926
"3","2003+5","SPY",22.2206480585975,24.6438669839315,23.0443045168026,7333.23888351585,6000,6866.93932249177,0,0,0,0,0,0,2.09706572738299,1.94763605864481,2.04876797371032
"4","2004+5","SPY",-28.0489704294336,-23.22170734033,-25.9591660201628,4317.06177423398,6000,4798.13559819554,0,0,0,0,0,0,0.559563033138591,0.664806491303075,0.600616268118501
"5","2005+5","SPY",-6.89948273455566,-3.95769757263281,-6.32451400437651,5586.03103592666,6000,5529.1857127484,0,0,0,0,0,0,-0.107866463290998,-0.0002890375213097,-0.0754439499204865
"6","2006+5","SPY",6.51601060229183,10.5383493906956,7.1585537731987,6390.96063613751,6000,5934.21277407403,0,0,0,0,0,0,-0.410108338701377,-0.30828834373367,-0.389882164475551
"7","2007+5","SPY",6.88701530366129,10.4525080077652,7.51427110711685,6413.22091821968,6000,5983.25337058912,0,0,0,0,0,0,-0.360220687203102,-0.213475192177822,-0.333800809024845
"8","2008+5","SPY",22.5491929654363,28.3999453389959,23.7512849818447,7352.95157792618,6000,6732.73444236213,0,0,0,0,0,0,0.351728337260079,0.499748535760564,0.395532523161531
"9","2009+5","SPY",50.1938238575762,68.7970187546079,54.0257414843721,9011.62943145457,6000,7926.45395343364,0,0,0,0,0,0,1.86370013389974,1.67791244162995,1.83233315386252
"10","2010+5","SPY",44.3521797955515,57.1669671984752,47.1057202073736,8661.13078773309,6000,7769.69968620033,0,0,0,0,0,0,1.23056821184027,1.19025523650664,1.22045841575491
